Date,Symbol,Series,Prev_Close,Open,High,Low,Last,Close,Vwap,Volume,Turnover,Trades,Deliverable_Volume,%Deliverble,Price_Change,Percentage_Change,Daily_Return
2015-04-16,TCS,EQ,2627.75,2626.95,2627.0,2571.35,2574.0,2582.8,2589.79,1608785,416641607920000.0,71768,1002627,0.6232,-44.149999999999636,-1.6806562743866322,-0.017105889068594782
2015-04-17,TCS,EQ,2582.8,2557.1,2560.0,2470.0,2473.9,2474.85,2495.54,4834371,1206434982295000.0,167402,2989132,0.6183,-82.25,-3.2165343553243906,-0.0417957255691499
2015-04-20,TCS,EQ,2474.85,2480.05,2483.9,2424.85,2426.0,2428.8,2439.46,1445361,352590267395000.0,84591,916671,0.6342,-51.25,-2.0664905949476826,-0.01860718831444319
2015-04-21,TCS,EQ,2428.8,2428.8,2452.0,2401.0,2427.05,2427.05,2430.81,1273016,309446530515000.0,83843,816116,0.6411,-1.75,-0.07205204216073781,-0.0007205204216074179
2015-04-22,TCS,EQ,2427.05,2431.5,2473.0,2407.55,2470.6,2445.1,2428.26,2093406,508334211700000.0,101821,1643446,0.7851,13.599999999999909,0.559325519226811,0.007437012010465205
2015-04-23,TCS,EQ,2445.1,2472.0,2479.8,2431.7,2455.0,2457.25,2460.81,2171495,534363755360000.06,80541,1743765,0.8029999999999999,-14.75,-0.5966828478964401,0.004969121917304031
2015-04-24,TCS,EQ,2457.25,2455.3,2514.0,2447.55,2509.6,2493.05,2488.25,1812579,451014638785000.06,130453,1306431,0.7208,37.75,1.5374903270476112,0.01456913215993505
2015-04-27,TCS,EQ,2493.05,2499.5,2520.0,2486.0,2500.0,2500.2,2501.44,1366526,341828002790000.0,81966,986807,0.7221,0.6999999999998181,0.028005601120216765,0.0028679729648422025
2015-04-28,TCS,EQ,2500.2,2510.0,2510.0,2455.1,2493.0,2495.0,2477.16,1544149,382510591630000.0,128979,1197833,0.7757,-15.0,-0.5976095617529881,-0.0020798336133108775
2015-04-29,TCS,EQ,2495.0,2484.0,2495.0,2451.05,2481.0,2487.3,2472.31,1009810,249655948465000.0,100184,626278,0.6202000000000001,3.300000000000182,0.13285024154590103,-0.0030861723446893308
2015-04-30,TCS,EQ,2487.3,2480.0,2490.0,2427.1,2476.0,2463.7,2461.06,1869027,459977844870000.0,101021,1353129,0.7240000000000001,-16.300000000000182,-0.6572580645161363,-0.009488200056286034
2015-05-04,TCS,EQ,2463.7,2491.0,2504.8,2457.2,2482.25,2481.55,2476.14,945315,234073697215000.0,83359,655734,0.6937000000000001,-9.449999999999818,-0.3793657165796796,0.007245200308479305
